,name,score
0,Les Terrasses Poulard,7.3
1,Le Relais Saint Michel,7.8
2,Hotel De La Digue,7.1
3,La Mère Poulard,7.2
4,Hôtel Vert,8.1
5,Le Mouton Blanc,7.2
6,Mercure Mont Saint Michel,8.2
7,La Vieille Auberge,7.4
8,Le Saint Aubert,7.3
9,Hotel Gabriel,8.1
10,Nomad Hotel le Havre,8.6
11,ibis Le Havre Centre,8.1
12,Holiday Inn Express - Le Havre Centre,8.2
13,Ibis Budget Le Havre Les Docks,8.4
14,B&B Hotel LE HAVRE Centre Gare,7.5
15,ibis budget Saint Malo Centre,7.5
16,Premiere Classe Le Havre Centre,7.5
17,Kyriad Le Havre Centre,6.9
18,Hôtel Les Gens De Mer Le Havre by Popinns,6.5
19,Kyriad Prestige Saint-Malo,8.6
